DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
211114745,10/29/2021 12:00:00 AM,09/20/2021 12:00:00 AM,1200,11,Northeast,1132,2,354,THEFT OF IDENTITY,1822 0100 0929,33,F,W,602.0,BANK,,,IC,Invest Cont,354.0,,,,3100    RIVERSIDE                    DR,,34.1131,-118.2684
230710292,05/31/2023 12:00:00 AM,05/26/2023 12:00:00 AM,2000,7,Wilshire,745,1,520,VEHICLE - ATTEMPT STOLEN,1300 0329,49,F,O,123.0,PARKING UNDERGROUND/BUILDING,,,IC,Invest Cont,520.0,,,,5600    WILSHIRE                     BL,,34.0624,-118.351
231104968,01/25/2023 12:00:00 AM,01/25/2023 12:00:00 AM,1745,11,Northeast,1127,2,940,EXTORTION,1822 2040 1913 1915 0337 1259 2104,17,M,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,940.0,,,,6000    FAYETTE                      ST,,34.1194,-118.1889
220105943,02/03/2022 12:00:00 AM,02/02/2022 12:00:00 AM,1915,1,Central,171,1,330,BURGLARY FROM VEHICLE,1251 1609 0329 1822 0344 1307,22,M,O,108.0,PARKING LOT,,,IC,Invest Cont,330.0,,,,800    JAMES M WOOD                 BL,,34.0462,-118.2628
221414988,08/10/2022 12:00:00 AM,08/09/2022 12:00:00 AM,1900,14,Pacific,1463,1,330,BURGLARY FROM VEHICLE,1609 0344 1300,25,F,W,108.0,PARKING LOT,,,IC,Invest Cont,330.0,,,,5300    PLAYA VISTA                  DR,,33.9762,-118.4287
200414188,10/23/2020 12:00:00 AM,10/13/2020 12:00:00 AM,1000,4,Hollenbeck,468,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1402,82,M,H,108.0,PARKING LOT,,,IC,Invest Cont,440.0,998.0,,,3000    GLEASON                      AV,,34.0387,-118.2008
220614876,08/19/2022 12:00:00 AM,08/18/2022 12:00:00 AM,1,6,Hollywood,646,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1822 0344,23,F,I,207.0,BAR/COCKTAIL/NIGHTCLUB,,,IC,Invest Cont,440.0,,,,1500    WILCOX                       AV,,34.098,-118.331
231412259,06/13/2023 12:00:00 AM,02/04/2023 12:00:00 AM,1,14,Pacific,1459,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,122.0,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,420.0,,,,4800    SAWTELLE                     BL,,33.9989,-118.4062
221112777,08/17/2022 12:00:00 AM,07/26/2022 12:00:00 AM,1100,11,Northeast,1116,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344,16,M,H,721.0,HIGH SCHOOL,,,IC,Invest Cont,341.0,,,,800 N  AVE 54,,34.1152,-118.1991
220314127,07/22/2022 12:00:00 AM,10/23/2021 12:00:00 AM,1800,3,Southwest,376,2,662,"BUNCO, GRAND THEFT",0940 0913 0701 1251 0344 0800,25,M,O,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,662.0,,,,1300 W  39TH                         ST,,34.0155,-118.3002
200117713,09/09/2020 12:00:00 AM,09/09/2020 12:00:00 AM,1955,1,Central,162,1,210,ROBBERY,2018 1100 0430 1402 1407 0907 1822 1309 1414,51,M,B,108.0,PARKING LOT,102.0,HAND GUN,IC,Invest Cont,210.0,998.0,,,700 S  FIGUEROA                     ST,,34.049,-118.2602
210714981,10/29/2021 12:00:00 AM,10/24/2021 12:00:00 AM,1815,7,Wilshire,722,1,330,BURGLARY FROM VEHICLE,0344,31,M,W,727.0,SHOPPING MALL (COMMON AREA),,,IC,Invest Cont,330.0,,,,100 N  LA CIENEGA                   BL,,34.0734,-118.3765
211607060,04/18/2021 12:00:00 AM,04/18/2021 12:00:00 AM,640,16,Foothill,1601,1,330,BURGLARY FROM VEHICLE,0344 1607,49,F,H,108.0,PARKING LOT,,,IC,Invest Cont,330.0,,,,12600    FOOTHILL                     BL,,34.2884,-118.4098
221706838,03/22/2022 12:00:00 AM,03/21/2022 12:00:00 AM,1100,17,Devonshire,1749,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,10600    WOODLEY                      AV,,34.2628,-118.4848
200714451,10/01/2020 12:00:00 AM,10/01/2020 12:00:00 AM,2030,7,Wilshire,717,1,210,ROBBERY,0355 1309 0346 0302 0334,35,F,W,102.0,SIDEWALK,101.0,REVOLVER,IC,Invest Cont,210.0,,,,CITRUS,ROSEWOOD,34.0803,-118.3397
220510614,06/26/2022 12:00:00 AM,06/26/2022 12:00:00 AM,350,5,Harbor,566,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0385 1606 0344,63,F,W,101.0,STREET,,,IC,Invest Cont,420.0,,,,900 S  PALOS VERDES                 ST,,33.736,-118.2814
221212978,06/02/2022 12:00:00 AM,06/01/2022 12:00:00 AM,1440,12,77th Street,1253,2,354,THEFT OF IDENTITY,0930 1822,53,M,B,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,7300    LA SALLE                     AV,,33.9735,-118.3057
220712646,08/08/2022 12:00:00 AM,08/07/2022 12:00:00 AM,2200,7,Wilshire,721,1,310,BURGLARY,1300 0344 1609 1307,35,M,O,707.0,GARAGE/CARPORT,,,IC,Invest Cont,310.0,,,,100 N  DOHENY                       DR,,34.0753,-118.3897
200108858,03/09/2020 12:00:00 AM,03/05/2020 12:00:00 AM,1930,1,Central,181,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),1606 0344 1822 1300,23,M,J,108.0,PARKING LOT,,,IC,Invest Cont,331.0,,,,1100 S  FIGUEROA                     ST,,34.0431,-118.2692
200713269,08/29/2020 12:00:00 AM,08/29/2020 12:00:00 AM,315,7,Wilshire,713,1,210,ROBBERY,0344,35,M,O,103.0,ALLEY,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210.0,,,,300 N  SIERRA BONITA                AV,,34.0761,-118.3543
220710481,05/30/2022 12:00:00 AM,05/29/2022 12:00:00 AM,100,7,Wilshire,759,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,26,M,H,735.0,NIGHT CLUB (OPEN EVENINGS ONLY),,,IC,Invest Cont,440.0,,,,4000 W  PICO                         BL,,34.0495,-118.3215
230121062,09/30/2023 12:00:00 AM,09/30/2023 12:00:00 AM,200,1,Central,163,2,624,BATTERY - SIMPLE ASSAULT,0416,19,M,B,735.0,NIGHT CLUB (OPEN EVENINGS ONLY),400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,700 S  BROADWAY,,0.0,0.0
221822462,12/20/2022 12:00:00 AM,12/20/2022 12:00:00 AM,1750,18,Southeast,1829,1,251,SHOTS FIRED AT INHABITED DWELLING,1822 1100 0329 1407 0857,59,F,B,511.0,PROJECT/TENEMENT/PUBLIC HOUSING,109.0,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,251.0,998.0,,,2000    99TH                         PL,,33.9472,-118.2318
201410564,05/07/2020 12:00:00 AM,05/07/2020 12:00:00 AM,1000,14,Pacific,1434,2,901,VIOLATION OF RESTRAINING ORDER,1501,52,F,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,901.0,,,,3700    WASATCH                      AV,,34.0055,-118.4375
220616384,09/20/2022 12:00:00 AM,09/18/2022 12:00:00 AM,1325,6,Hollywood,666,1,330,BURGLARY FROM VEHICLE,1300 1822 0344,49,M,W,123.0,PARKING UNDERGROUND/BUILDING,,,IC,Invest Cont,330.0,,,,1300 N  CAHUENGA                     BL,,34.0944,-118.3288
231912087,07/24/2023 12:00:00 AM,07/23/2023 12:00:00 AM,2100,19,Mission,1981,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0344 1606,37,F,H,101.0,STREET,,,IC,Invest Cont,420.0,,,,15500    PARTHENIA                    ST,,34.2283,-118.4699
201215395,06/26/2020 12:00:00 AM,06/25/2020 12:00:00 AM,2210,12,77th Street,1239,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,5800 S  FLOWER                       ST,,33.986,-118.2816
200815458,10/07/2020 12:00:00 AM,10/07/2020 12:00:00 AM,1630,8,West LA,802,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1307,26,F,W,122.0,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740.0,,,,1500    WILL ROGERS STATE PARK       RD,,34.0531,-118.5141
221218520,08/28/2022 12:00:00 AM,08/28/2022 12:00:00 AM,330,12,77th Street,1273,2,624,BATTERY - SIMPLE ASSAULT,0416 0913 0448,59,F,B,304.0,GARMENT MANUFACTURER,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,8900 S  WESTERN                      AV,,33.9563,-118.309
211115312,11/13/2021 12:00:00 AM,11/09/2021 12:00:00 AM,750,11,Northeast,1128,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1300,32,F,H,101.0,STREET,,,IC,Invest Cont,740.0,,,,6300 N  FIGUEROA                     ST,,34.1157,-118.1842
221017662,12/14/2022 12:00:00 AM,12/13/2022 12:00:00 AM,1300,10,West Valley,1007,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,17000    BURTON                       ST,,34.2203,-118.5029
220120380,09/13/2022 12:00:00 AM,09/13/2022 12:00:00 AM,840,1,Central,119,2,624,BATTERY - SIMPLE ASSAULT,0444 2004 0910,25,M,B,834.0,LA UNION STATION (NOT LINE SPECIFIC),400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,800 N  ALAMEDA                      ST,,34.0561,-118.2375
210911180,07/03/2021 12:00:00 AM,07/02/2021 12:00:00 AM,2155,9,Van Nuys,931,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1822 1420 0344,0,X,X,210.0,RESTAURANT/FAST FOOD,,,IC,Invest Cont,440.0,,,,6100 N  SEPULVEDA                    BL,,34.1841,-118.4693
200808893,05/01/2020 12:00:00 AM,05/01/2020 12:00:00 AM,540,8,West LA,829,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1606 0202 0930 0327 1420 1822 0344,38,M,W,101.0,STREET,,,IC,Invest Cont,420.0,,,,1600    PANDORA                      AV,,34.0597,-118.4262
231806550,02/19/2023 12:00:00 AM,02/19/2023 12:00:00 AM,1030,18,Southeast,1803,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,200 E  87TH                         ST,,33.9591,-118.2717
220109267,03/30/2022 12:00:00 AM,03/30/2022 12:00:00 AM,1800,1,Central,138,1,330,BURGLARY FROM VEHICLE,0329 0344 1307 1609 1822,51,M,W,101.0,STREET,,,IC,Invest Cont,330.0,,,,3RD,ALAMEDA                      ST,34.0455,-118.2381
201216023,07/06/2020 12:00:00 AM,07/05/2020 12:00:00 AM,1900,12,77th Street,1213,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),1822 0329,40,M,H,122.0,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,745.0,,,,5500 S  WESTERN                      AV,,33.9915,-118.3089
